,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
86,Scott Dann\Scott-Dann,eng ENG,DF,Crystal Palace,32,1987,5,4,336,0,1,0,0,0,0,0.00,0.27,0.27,0.00,0.27,0.1,0.1,0.1,0.03,0.02,0.05,0.03,0.05,Matches
87,Kevin Danso\Kevin-Danso,at AUT,MF,Southampton,20,1998,6,3,275,0,1,0,0,2,1,0.00,0.33,0.33,0.00,0.33,0.1,0.1,0.2,0.03,0.06,0.09,0.03,0.09,Matches
88,Ben Davies\Ben-Davies,wal WAL,DF,Tottenham,26,1993,6,4,361,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.01,0.02,0.03,0.01,0.03,Matches
89,Tom Davies\Tom-Davies,eng ENG,MF,Everton,21,1998,14,10,918,1,0,0,0,5,0,0.10,0.00,0.10,0.10,0.10,1.4,1.4,0.1,0.14,0.01,0.15,0.14,0.15,Matches
90,Keinan Davis\Keinan-Davis,eng ENG,,Aston Villa,21,1998,6,0,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.63,0.05,0.68,0.63,0.68,Matches
91,Craig Dawson\Craig-Dawson,eng ENG,DF,Watford,29,1990,15,12,1099,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.0,0.07,0.00,0.07,0.07,0.07,Matches
92,Kevin De Bruyne\Kevin-De-Bruyne,be BEL,MF,Manchester City,28,1991,19,18,1564,7,12,0,0,2,0,0.40,0.69,1.09,0.40,1.09,4.1,4.1,10.3,0.24,0.59,0.83,0.24,0.83,Matches
93,Troy Deeney\Troy-Deeney,eng ENG,FW,Watford,31,1988,9,8,726,3,0,2,2,1,0,0.37,0.00,0.37,0.12,0.12,3.5,2.0,0.8,0.44,0.10,0.54,0.25,0.35,Matches
94,Fabian Delph\Fabian-Delph,eng ENG,MF,Everton,29,1989,10,8,749,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.01,0.02,0.03,0.01,0.03,Matches
95,Leander Dendoncker\Leander-Dendoncker,be BEL,MF,Wolves,24,1995,20,19,1639,1,0,0,0,2,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.1,0.06,0.00,0.06,0.06,0.06,Matches
96,Gerard Deulofeu\Gerard-Deulofeu,es ESP,FWMF,Watford,25,1994,20,17,1469,3,2,1,1,3,0,0.18,0.12,0.31,0.12,0.25,3.6,2.9,3.3,0.22,0.20,0.43,0.18,0.38,Matches
97,Eric Dier\Eric-Dier,eng ENG,DFMF,Tottenham,25,1994,9,7,611,0,1,0,0,4,0,0.00,0.15,0.15,0.00,0.15,0.9,0.9,0.1,0.14,0.01,0.15,0.14,0.15,Matches
98,Lucas Digne\Lucas-Digne,fr FRA,DF,Everton,26,1993,19,19,1620,0,3,0,0,2,0,0.00,0.17,0.17,0.00,0.17,0.8,0.8,3.0,0.04,0.17,0.21,0.04,0.21,Matches
99,Virgil van Dijk\Virgil-van-Dijk,nl NED,DF,Liverpool,28,1991,19,19,1710,3,0,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.9,0.9,0.5,0.04,0.02,0.07,0.04,0.07,Matches
100,Issa Diop\Issa-Diop,fr FRA,DF,West Ham,22,1997,15,14,1236,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.3,0.04,0.02,0.06,0.04,0.06,Matches
101,Moussa Djenepo\Moussa-Djenepo,ml MLI,MF,Southampton,21,1998,11,6,586,2,1,0,0,3,0,0.31,0.15,0.46,0.31,0.46,1.6,1.6,0.7,0.25,0.11,0.36,0.25,0.36,Matches
102,Matt Doherty\Matt-Doherty,ie IRL,DF,Wolves,27,1992,18,15,1340,3,0,0,0,1,0,0.20,0.00,0.20,0.20,0.20,2.9,2.9,0.4,0.20,0.02,0.22,0.20,0.22,Matches
103,Abdoulaye Doucouré\Abdoulaye-Doucoure,fr FRA,MF,Watford,26,1993,19,19,1655,1,0,0,0,5,0,0.05,0.00,0.05,0.05,0.05,2.7,2.7,1.3,0.15,0.07,0.22,0.15,0.22,Matches
104,Danny Drinkwater\Danny-Drinkwater,eng ENG,MF,Burnley,29,1990,1,1,59,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
105,Josip Drmić\Josip-Drmic,ch SUI,FW,Norwich City,26,1992,8,0,115,1,0,0,0,0,0,0.78,0.00,0.78,0.78,0.78,1.2,1.2,0.0,0.93,0.00,0.93,0.93,0.93,Matches
106,Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,30,1989,20,20,1800,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
107,Shane Duffy\Shane-Duffy,ie IRL,DFMF,Brighton,27,1992,12,8,801,1,0,0,0,0,0,0.11,0.00,0.11,0.11,0.11,1.5,1.5,0.0,0.17,0.00,0.17,0.17,0.17,Matches
108,Paul Dummett\Paul-Dummett,wal WAL,DF,Newcastle Utd,27,1991,15,13,1216,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.01,0.01,0.00,0.01,Matches
109,Lewis Dunk\Lewis-Dunk,eng ENG,DF,Brighton,27,1991,18,18,1620,2,2,0,0,6,0,0.11,0.11,0.22,0.11,0.22,1.7,1.7,0.5,0.09,0.03,0.12,0.09,0.12,Matches
