,,,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
91,Bas Dost\Bas-Dost,nl NED,FW,Eint Frankfurt,30,1989,11,8,763,4,0,0,0,0,0,0.47,0.00,0.47,0.47,0.47,3.3,3.3,0.4,0.39,0.05,0.43,0.39,0.43,Matches
92,Mohamed Dräger\Mohamed-Drager,tn TUN,MF,Paderborn 07,23,1996,10,10,842,0,3,0,0,1,0,0.00,0.32,0.32,0.00,0.32,0.2,0.2,0.6,0.02,0.06,0.09,0.02,0.09,Matches
93,Aleksandar Dragović\Aleksandar-Dragovic,at AUT,DFMF,Bayer,28,1991,8,5,541,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.08,0.00,0.08,0.08,0.08,Matches
94,Dominick Drexler\Dominick-Drexler,de GER,FW,Köln,29,1990,13,12,952,2,1,0,0,4,0,0.19,0.09,0.28,0.19,0.28,1.9,1.9,1.8,0.18,0.17,0.34,0.18,0.34,Matches
95,Ondrej Duda\Ondrej-Duda,sk SVK,MF,Hertha BSC,24,1994,7,6,451,0,1,0,0,2,0,0.00,0.20,0.20,0.00,0.20,0.5,0.5,0.4,0.11,0.09,0.19,0.11,0.19,Matches
96,Erik Durm\Erik-Durm,de GER,DFFW,Eint Frankfurt,27,1992,6,5,425,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.12,0.02,0.14,0.12,0.14,Matches
97,Johannes Eggestein\Johannes-Eggestein,de GER,FW,Werder Bremen,21,1998,11,4,434,1,0,0,0,3,1,0.21,0.00,0.21,0.21,0.21,0.8,0.8,0.5,0.17,0.11,0.28,0.17,0.28,Matches
98,Maximilian Eggestein\Maximilian-Eggestein,de GER,MF,Werder Bremen,22,1996,16,16,1416,0,2,0,0,2,0,0.00,0.13,0.13,0.00,0.13,1.4,1.4,1.2,0.09,0.08,0.17,0.09,0.17,Matches
99,Kingsley Ehizibue\Kingsley-Ehizibue,nl NED,DF,Köln,24,1995,15,14,1114,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.4,0.04,0.04,0.07,0.04,0.07,Matches
100,Nico Elvedi\Nico-Elvedi,ch SUI,DF,M'gladbach,22,1996,17,15,1323,1,0,0,0,2,0,0.07,0.00,0.07,0.07,0.07,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
