,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,
Rk,Player,Nation,Pos,Squad,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,Int,PKwon,PKcon,OG,Succ,Att,Succ%,#Pl,Megs,Tkl,Att,Tkl%,Past,Matches
326,Nuri Şahin\Nuri-Sahin,tr TUR,MF,Werder Bremen,11.3,4,1,1,19,12,0,66,17,24,0,0,0,10,15,66.7,10,0,24,49,49.0,25,Matches
327,Roland Sallai\Roland-Sallai,hu HUN,FW,Freiburg,4.5,0,0,0,6,14,3,17,6,4,0,0,0,9,17,52.9,10,1,6,10,60.0,4,Matches
328,Diadie Samassékou\Diadie-Samassekou,ml MLI,MF,Hoffenheim,2.9,2,0,0,5,3,0,1,4,6,0,0,0,5,5,100.0,5,0,4,10,40.0,6,Matches
329,Renato Sanches\Renato-Sanches,pt POR,MF,Bayern Munich,0.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
330,Jadon Sancho\Jadon-Sancho,eng ENG,MF,Dortmund,13.1,0,0,0,2,11,3,37,7,9,0,0,0,54,96,56.3,58,8,10,21,47.6,11,Matches
331,Salif Sané\Salif-Sane,sn SEN,DFMF,Schalke 04,7.5,3,0,0,8,14,0,0,8,14,0,0,0,7,8,87.5,7,1,13,20,65.0,7,Matches
332,Marcelo Saracchi\Marcelo-Saracchi,uy URU,DF,RB Leipzig,2.0,1,0,0,1,1,0,7,3,1,0,0,0,5,7,71.4,6,0,6,8,75.0,2,Matches
333,Josh Sargent\Josh-Sargent,us USA,FW,Werder Bremen,6.1,0,0,0,6,9,2,1,3,3,0,0,0,6,9,66.7,6,1,3,8,37.5,5,Matches
334,Louis Schaub\Louis-Schaub,at AUT,MF,Köln,7.0,0,0,0,8,11,1,19,9,3,0,0,0,20,36,55.6,23,0,14,20,70.0,6,Matches
335,Patrik Schick\Patrik-Schick,cz CZE,FW,RB Leipzig,4.0,2,0,0,8,6,4,3,3,0,0,0,0,8,20,40.0,10,2,3,5,60.0,2,Matches
336,Julian Schieber\Julian-Schieber,de GER,FW,Augsburg,0.5,1,0,0,2,0,0,0,1,0,0,0,0,0,0,,0,0,1,1,100.0,0,Matches
337,Kingsley Schindler\Kingsley-Schindler,de GER,DF,Köln,8.9,0,0,0,11,9,3,31,3,5,0,0,0,11,20,55.0,12,1,4,10,40.0,6,Matches
338,Xaver Schlager\Xaver-Schlager,at AUT,MF,Wolfsburg,4.6,1,0,0,9,5,0,4,14,6,0,0,0,8,9,88.9,8,0,17,29,58.6,12,Matches
339,Keven Schlotterbeck\Keven-Schlotterbeck,de GER,DF,Union Berlin,7.6,3,1,0,11,11,1,1,9,13,0,0,0,3,4,75.0,3,0,18,28,64.3,10,Matches
340,Nico Schlotterbeck\Nico-Schlotterbeck,de GER,DF,Freiburg,3.9,0,0,0,6,9,0,4,5,4,0,0,0,4,4,100.0,4,0,8,9,88.9,1,Matches
341,Marcel Schmelzer\Marcel-Schmelzer,de GER,DF,Dortmund,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
342,Jonathan Schmid\Jonathan-Schmid,fr FRA,MF,Freiburg,15.9,1,0,0,9,19,2,59,15,13,0,0,0,8,17,47.1,8,0,23,37,62.2,14,Matches
343,Manuel Schmiedebach\Manuel-Schmiedebach,de GER,MF,Union Berlin,1.6,0,0,0,3,2,0,0,2,1,0,0,0,0,0,,0,0,3,8,37.5,5,Matches
344,Benno Schmitz\Benno-Schmitz,de GER,DF,Köln,4.7,0,0,0,7,1,0,16,6,4,0,0,0,1,2,50.0,1,0,11,18,61.1,7,Matches
345,Sebastian Schonlau\Sebastian-Schonlau,de GER,MF,Paderborn 07,11.0,1,0,0,10,10,0,1,13,23,0,1,0,2,2,100.0,2,0,26,40,65.0,14,Matches
346,Alessandro Schöpf\Alessandro-Schopf,at AUT,MF,Schalke 04,2.1,1,0,0,3,4,0,4,5,4,0,0,0,3,6,50.0,4,0,7,8,87.5,1,Matches
347,Markus Schubert\Markus-Schubert,de GER,GK,Schalke 04,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
348,Nico Schulz\Nico-Schulz,de GER,DFMF,Dortmund,6.3,0,0,0,11,3,4,13,6,7,0,0,0,6,10,60.0,6,0,12,22,54.5,10,Matches
349,Alexander Schwolow\Alexander-Schwolow,de GER,GK,Freiburg,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
350,Davie Selke\Davie-Selke,de GER,FW,Hertha BSC,9.6,3,0,0,26,17,6,3,3,2,0,0,0,5,12,41.7,6,1,4,8,50.0,4,Matches
351,Suat Serdar\Suat-Serdar,de GER,MF,Schalke 04,12.9,2,0,0,20,24,1,1,34,14,0,0,0,34,53,64.2,36,2,50,82,61.0,32,Matches
352,Khiry Shelton\Khiry-Shelton,us USA,FW,Paderborn 07,0.4,0,0,0,0,1,0,0,0,0,0,0,0,2,2,100.0,2,0,0,0,,0,Matches
353,André Silva\Andre-Silva,pt POR,FW,Eint Frankfurt,5.9,0,0,0,10,10,1,4,0,0,0,0,0,10,15,66.7,11,0,3,5,60.0,2,Matches
354,Sarpreet Singh\Sarpreet-Singh,nz NZL,MF,Bayern Munich,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
355,Daley Sinkgraven\Daley-Sinkgraven,nl NED,MF,Bayer,2.6,1,0,0,6,2,0,1,4,0,0,0,0,1,1,100.0,1,1,7,11,63.6,4,Matches
356,Ellyes Skhiri\Ellyes-Skhiri,tn TUN,MF,Köln,13.7,1,0,0,13,11,2,2,21,29,0,0,0,19,21,90.5,19,1,32,52,61.5,20,Matches
357,Robert Skov\Robert-Skov,dk DEN,FW,Hoffenheim,14.8,2,0,0,10,14,1,72,23,10,0,0,0,21,33,63.6,24,2,32,50,64.0,18,Matches
358,Dennis Smarsch\Dennis-Smarsch,de GER,GK,Hertha BSC,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,Matches
359,Lasse Sobiech\Lasse-Sobiech,de GER,DFMF,Köln,1.0,1,0,0,2,0,0,0,0,4,0,0,0,0,0,,0,0,1,1,100.0,0,Matches
360,Marcel Sobottka\Marcel-Sobottka,de GER,MF,Düsseldorf,3.1,0,0,0,10,2,0,0,5,2,0,0,0,0,2,0.0,0,0,9,13,69.2,4,Matches
